2.463,0.056,1.682,-0.108,1.173,1
1.234,0.091,2.107,0.046,0.144,1
2.852,0.056,1.782,0.107,0.668,1
-0.775,-0.043,1.372,0.026,0.543,1
1.573,0.047,1.377,0.177,1.797,1
-2.536,-0.056,0.629,0,0.325,1
2.523,0.015,1.877,-0.12,1.793,1
-0.497,-0.029,0.886,-0.106,0.333,1
0.688,0.053,0.792,-0.009,0.232,1
0.004,0,0.241,-0.275,0.101,1
-13.584,-0.835,1.4,-0.496,0.583,1
31.637,0.038,5.096,0.142,377.869,1
-6.533,-0.188,0.508,-0.578,0.859,1
5.773,0.142,1.416,-0.544,1.009,1
1.399,0.04,1.096,-0.064,0.152,1
0.439,0.021,0,0.129,0.273,1
-0.019,-0.001,1.304,0.101,0.131,1
14.318,0.088,2.52,0.237,5.409,1
1.162,0.112,0.448,0.268,0.134,1
1.282,0.032,1.154,-0.743,0.39,1
-3.438,-0.092,1.701,0.208,0.481,1
1.834,0.077,2.398,0.3,0.954,1
8.94,0.09,1.259,0.102,5.178,1
-4.587,-0.22,0.496,-0.214,0.234,1
1.851,0.104,1.306,0.085,0.478,1
-13.009,-0.278,0.698,-0.304,1.254,1
-2.569,-0.133,0.66,-0.598,0.353,1
-0.681,-0.06,1.426,-0.311,0.182,1
-0.042,-0.002,0,-0.111,1.349,1
3.869,0.101,1.181,-0.313,1.28,1
1.918,0.203,1.78,-0.403,0.217,1
2.369,0.115,3.771,0.01,1.621,1
1.409,0.087,2.261,0.038,0.282,1
1.195,0.036,2.763,0.313,1.648,1
7.242,0.149,1.341,0.119,4.397,1
0.456,0.037,1.11,0.066,0.189,1
0.491,0.009,1.819,0.242,0.798,1
5.556,0.116,2.447,0.089,3.307,1
0.293,0.03,3.707,-0.046,0.108,1
3.791,0.123,0,0.02,0.859,1
-0.254,-0.012,1.419,0.13,0.202,1
-5.484,-0.456,0.209,-0.324,0.061,1
-0.272,-0.013,1.219,0.09,1.615,1
0.03,0.002,1.557,0.12,0.527,1
-4.933,-0.093,2.683,0.472,1.835,1
-0.627,-0.036,1.224,0.081,1.107,1
0.053,0.003,1.17,-0.641,0.217,1
-6.586,-0.258,1.241,-0.319,1.132,1
0.795,0.139,0.241,-0.923,0.017,1
-0.595,-0.022,1.273,-0.033,0.311,1
3.558,0.116,3.818,0.23,1.301,0
2.662,0.106,1.081,0.063,0.688,0
4.544,0.132,2.046,0.359,2.488,0
11.596,0.16,3.701,0.494,5.207,0
5.192,0.116,3.151,0.434,2.318,0
-4.189,-0.123,1.395,0.1,0.364,0
4.989,0.19,1.155,0.171,2.593,0
-0.874,-0.042,1.345,0.214,0.848,0
3.174,0.158,1.185,0.205,2.022,0
1.768,0.129,0.906,0.031,0.112,0
2.117,0.065,2.833,0.116,1.716,0
4.727,0.093,3.187,0.236,2.234,0
-6.346,-0.051,1.985,-0.257,8.169,0
3.356,0.098,1.777,0.318,1.655,0
0.259,0.018,2.142,0.05,0.305,0
3.431,0.093,3.044,0.097,4.166,0
3.193,0.066,2.382,0.473,2.572,0
3.513,0.072,3.925,0.381,1.094,0
3.334,0.168,1.089,0.2,12.775,0
0.187,0.01,0.72,-0.092,0.414,0
7.193,0.178,1.659,0.311,4.788,0
2.1,0.1,0.996,0.121,0.765,0
2.81,0.094,1.477,0.102,1.087,0
-3.231,-0.077,0.977,-0.039,0.923,0
4.688,0.107,1.838,0.303,3.032,0
13.231,0.187,1.799,-0.174,3.473,0
4.01,0.088,0.601,0.227,1.317,0
2.576,0.097,4.108,0.287,1.644,0
2.329,0.092,1.905,-0.423,1.846,0
14.575,0.107,4.323,0.638,7.692,0
6.11,0.402,1.468,-0.276,0.855,0
9.319,0.071,1.911,0.097,6.052,0
0.284,0.01,1.842,0.174,0.742,0
12.687,0.13,3.213,-0.182,19.091,0
-2.058,-0.035,3.513,0.362,4.72,0
1.08,0.053,1.606,0.357,0.717,0
10.595,0.18,1.937,0.481,8.242,0
7.111,0.099,1.022,0.086,3.947,0
2.721,0.109,1.577,0.492,1.205,0
3.539,0.128,1.59,0.11,1.353,0
0.998,0.083,1.819,0.05,0.115,0
-2.425,-0.122,1.245,-0.027,0.086,0
18.035,0.075,4.016,0.405,6.382,0
1.686,0.05,0.937,-0.216,3.172,0
3.668,0.105,1.636,0.292,2.137,0
-31.394,-0.174,2.68,0.221,10.106,0
1.984,0.111,1.586,-0.426,1.039,0
115.395,0.375,3.854,0.632,1329.401,0
2.251,0.084,2.274,0.43,1.082,0
0.368,0.018,1.285,0.07,0.701,0
